evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-10,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-10,XLSX,,,
Pg.seg.vida Func.10/2022,252.03,DESPESA,2022-10,XLSX,,,
Pg.salário,2581.46,DESPESA,2022-10,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2022-10,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-10,XLSX,,,
Água,7980.4,DESPESA,2022-10,XLSX,,,
Pg.ceee,1623.29,DESPESA,2022-10,XLSX,,,
Pg.equipamentos,15503.0,DESPESA,2022-10,XLSX,,,
Pg.manut.elevador,705.6,DESPESA,2022-10,XLSX,,,
Peças Elevador,2575.13,DESPESA,2022-10,XLSX,,,
Pg.material,1163.8,DESPESA,2022-10,XLSX,,,
Pg.reforma,6078.1,DESPESA,2022-10,XLSX,,,
Pg.materiais,2497.28,DESPESA,2022-10,XLSX,,,
Pg.mat.limpeza,1145.34,DESPESA,2022-10,XLSX,,,
Pg.recarga Celular,50.0,DESPESA,2022-10,XLSX,,,
Pg.issqn,942.8,DESPESA,2022-10,XLSX,,,
Pg.transações Bco.ted/Doc,32.4,DESPESA,2022-10,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-10,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-10,XLSX,,,
Pg.custas Judiciais,252.9,DESPESA,2022-10,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-10,XLSX,,,
Retirada P/Posterior Acerto,1800.0,DESPESA,2022-10,XLSX,,,
Pg.tarifa Banco Cobrança,549.0,DESPESA,2022-10,XLSX,,,
Pg.fotocópias,113.78,DESPESA,2022-10,XLSX,,,
