evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Rec.ch.extra Férias,162.81,RECEITA,2022-12,XLSX,,,
Valor,1905.83,RECEITA,2022-12,XLSX,,,
Subtotal,64718.35,RECEITA,2022-12,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-12,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-12,XLSX,,,
Pg.serv.limp.,4606.0,DESPESA,2022-12,XLSX,,,
Pg.fgts,293.05,DESPESA,2022-12,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-12,XLSX,,,
Pg.2º Parc.13º Sal./2022,1538.27,DESPESA,2022-12,XLSX,,,
Pg.pis/Cofins/Csll,61.38,DESPESA,2022-12,XLSX,,,
Pg.inss S/13º Sal.,1227.39,DESPESA,2022-12,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1747.39,DESPESA,2022-12,XLSX,,,
Pg.pis,36.63,DESPESA,2022-12,XLSX,,,
Pg.secovimed,160.05,DESPESA,2022-12,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-12,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-12,XLSX,,,
Pg.folha Func.bco.,27.0,DESPESA,2022-12,XLSX,,,
Pg.salário,2581.46,DESPESA,2022-12,XLSX,,,
Pg.vale Transporte,1501.0,DESPESA,2022-12,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2022-12,XLSX,,,
Pg.seg.vida Func.12/2022,274.02,DESPESA,2022-12,XLSX,,,
Água,10334.16,DESPESA,2022-12,XLSX,,,
Pg.ceee,1792.58,DESPESA,2022-12,XLSX,,,
Peças Elevador,3416.74,DESPESA,2022-12,XLSX,,,
Pg.equipamentos,15504.0,DESPESA,2022-12,XLSX,,,
Pg.manut.elevador,802.12,DESPESA,2022-12,XLSX,,,
Pg.desinsetização,1287.99,DESPESA,2022-12,XLSX,,,
Pg.manutenção,1880.0,DESPESA,2022-12,XLSX,,,
Pg.materiais,1418.72,DESPESA,2022-12,XLSX,,,
Pg.desentupidora,3498.06,DESPESA,2022-12,XLSX,,,
Pg.impermeabilização,3264.48,DESPESA,2022-12,XLSX,,,
Pg.material,886.7,DESPESA,2022-12,XLSX,,,
Pg.mat.limpeza,861.68,DESPESA,2022-12,XLSX,,,
Pg.issqn,1624.43,DESPESA,2022-12,XLSX,,,
Pg.transações Bco.ted/Doc,16.2,DESPESA,2022-12,XLSX,,,
Pg.recarga Celular,50.0,DESPESA,2022-12,XLSX,,,
Pg.locação,300.0,DESPESA,2022-12,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-12,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-12,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-12,XLSX,,,
Pg.tarifa Banco Cobrança,549.0,DESPESA,2022-12,XLSX,,,
Pg.,46.0,DESPESA,2022-12,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-12,XLSX,,,
Valor,1905.83,DESPESA,2022-12,XLSX,,,
Subtotal,84176.35,DESPESA,2022-12,XLSX,,,
Outros Eventos,60560.11,RECEITA,2023-01,XLSX,,,
Fundo Obras,3454.12,RECEITA,2023-01,XLSX,,,
Rec.condomínio,54265.99,RECEITA,2023-01,XLSX,,,
Rec.alug.depósito,90.0,RECEITA,2023-01,XLSX,,,
